Country,ISO3,Indicator,Technology,Energy_Type,Unit,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
Algeria,DZA,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,0.1,103.117,193.233,192.536,199.733,194.954,372.1,426.0,687.664,711.045,816.11,793.11,835.11
Algeria,DZA,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,,,,,,,25.0,25.0,25.0,25.0,28.3,61.1,261.1,354.1,366.1,366.1,366.1,366.1,450.8
Algeria,DZA,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,,,,,1.0,19.235,19.4,19.4,10.0,10.0,8.0,11.0,16.0
Algeria,DZA,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,,,,,,,,,,,,,,10.2,10.2,10.2,10.2,10.0,10.0,10.0,10.0,10.0
American Samoa,ASM,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),169.587,172.985,181.049,188.165,188.084,188.896,187.781,185.958,185.878,173.575,158.082,155.116,155.119,153.873,154.762,161.392,167.799,160.942,159.657,166.332,170.497,173.477,130.361
American Samoa,ASM,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),40.14,40.14,40.14,40.14,38.54,38.54,38.82,38.82,38.82,38.82,25.17,43.17,34.17,34.17,34.17,34.17,33.21,39.71,39.71,39.71,39.71,39.71,46.71
American Samoa,ASM,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,,,1.409,2.419,2.363,2.494,6.189,7.739,7.975,7.435,6.548,5.581,4.096
American Samoa,ASM,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,,,,,,,,,2.416,2.416,2.416,2.416,3.92,4.27,5.16,4.81,4.81,4.81,4.81
Angola,AGO,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,,,,,36.0,42.0,155.0,200.0,200.0,200.0,200.0,200.0,200.0
Angola,AGO,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),,,,,,,,,,,,,,,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
Angola,AGO,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),303.649,357.588,357.588,427.866,300.432,260.154,543.322,470.655,529.433,1102.322,1241.107,1853.411,2849.618,4273.175,5569.787,5886.201,5810.799,4996.163,4412.673,4755.913,3391.013,4922.602,4475.235
Angola,AGO,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),149.6,197.6,197.6,197.6,199.6,199.6,200.616,230.616,232.716,232.716,388.716,544.016,831.516,1204.216,1318.716,1376.716,1384.716,2337.056,2337.056,2357.056,2357.056,2357.056,2357.056
Angola,AGO,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),900.29,1010.274,1130.254,1230.578,1730.338,2200.298,2540.269,2880.211,3182.131,3335.601,3685.589,4042.915,3839.829,3638.555,5039.928,5039.928,6286.126,8844.173,11322.922,12562.297,13801.672,13801.672,13801.672
Angola,AGO,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),235.579,235.579,235.579,235.579,495.579,495.579,495.579,755.579,787.579,787.579,787.579,787.579,873.179,953.179,969.179,969.179,1700.439,2393.279,3061.279,3395.279,3729.279,3729.279,3729.279
Angola,AGO,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,,,,0.03,0.455,0.455,0.466,0.602,0.62,1.939,1.95,2.047,405.353
Angola,AGO,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,,,,,,,,,,0.021,0.32,0.32,0.328,0.424,0.437,1.366,1.374,1.441,285.46
Antigua and Barbuda,ATG,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),150.0,171.0,191.0,211.0,221.0,243.0,258.0,285.4,296.0,327.4,329.5,329.0,330.0,330.0,336.0,340.0,344.0,344.0,352.378,358.088,326.159,336.216,336.216
Antigua and Barbuda,ATG,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),27.0,32.0,37.0,37.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,85.0,85.0,119.0,119.0,119.0,81.0,81.0,72.7,80.2,75.0,62.55,62.55
Antigua and Barbuda,ATG,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,0.158,0.158,0.473,0.473,0.63,0.63,5.355,5.45,6.47,10.25,13.715,16.983,21.826,23.411
Antigua and Barbuda,ATG,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,,,,,,0.1,0.1,0.3,0.3,0.4,0.4,3.4,3.51,4.314,8.714,8.714,12.864,14.864,14.864
Argentina,ARG,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),594.804,571.804,738.804,839.804,928.804,983.804,927.804,1006.804,1062.804,1082.804,1151.814,1148.814,1183.814,1224.803,1161.851,1369.407,1388.314,1564.839,1535.911,1825.706,2489.119,2507.334,2516.652
Argentina,ARG,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),117.605,117.169,130.624,157.199,156.508,162.668,168.072,194.517,192.213,196.45,206.735,206.016,212.195,214.65,190.403,219.388,219.388,227.303,242.503,265.463,332.963,364.063,367.683
Argentina,ARG,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),53555.0,45634.0,42285.0,49695.0,60989.0,63685.0,66710.0,73724.0,82017.0,77968.0,83750.0,90004.0,97740.0,97586.0,98298.0,103766.0,106919.0,105335.844,104450.541,95711.45,95657.769,104640.0,94625.0
Argentina,ARG,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),13611.947,14630.778,14580.804,14696.636,14602.21,14562.939,14392.328,14447.84,15949.971,16984.166,17660.333,18512.503,19505.274,22928.785,23757.31,20921.821,21260.119,23445.608,25023.324,25188.742,25977.354,26014.388,25891.048
Argentina,ARG,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),28749.232,37025.167,35849.913,33811.467,30428.291,33852.412,37837.322,31103.816,31021.476,34485.065,33365.926,31355.333,29009.728,32845.76,32667.489,32267.514,29704.415,31782.759,32289.914,27514.913,23679.064,19657.461,22779.385
Argentina,ARG,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),8614.174,8638.504,8787.841,8811.531,8927.951,8950.051,8949.991,9185.891,9194.121,9565.191,9566.132,10097.079,10135.749,10135.645,10138.179,10139.709,10201.738,10274.618,10320.118,10342.118,10375.758,10377.268,10390.488
Argentina,ARG,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),0.036,0.043,0.047,0.065,0.07,0.081,0.09,0.109,0.144,0.076,0.086,1.614,8.193,15.156,15.935,14.817,14.403,16.557,108.272,800.947,1345.608,2203.869,2941.54
Argentina,ARG,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),0.025,0.111,0.122,0.156,0.205,0.216,0.241,0.241,0.345,2.984,4.898,6.38,12.474,15.521,15.521,15.521,15.52,15.52,197.95,447.239,768.973,1080.226,1116.264
Argentina,ARG,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),35.0,49.361,73.405,77.954,72.445,75.381,69.639,61.593,41.951,36.832,25.352,59.0,822.0,1007.0,619.094,593.0,548.0,611.677,1412.997,4996.866,9412.333,12939.879,14168.0
Argentina,ARG,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),6.543,0.069,2.769,0.069,0.069,0.069,0.069,0.069,0.071,0.88,1.134,7.433,110.033,163.032,188.24,188.24,188.24,227.555,751.155,1609.455,2624.0,3292.22,3310.22
"Armenia, Rep. of",ARM,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),,,,,,,,,1.3,1.3,1.3,1.3,1.3,,,,,,,,,,
"Armenia, Rep. of",ARM,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),2692.1,2790.4,1579.1,1521.5,1613.6,1827.7,1475.7,1488.8,1853.9,1154.1,1438.3,2390.3,3399.1,3173.1,3288.6,2801.2,2581.5,2871.8,3375.6,3046.9,3165.5,3383.7,3878.7
"Armenia, Rep. of",ARM,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),1799.4,1799.4,1799.4,1774.4,1774.4,1774.5,1775.0,1702.0,1702.5,1692.1,1931.1,1906.0,2394.0,2394.0,2390.0,1840.0,1840.0,1840.0,1826.6,1826.6,1831.6,2085.6,2085.6
"Armenia, Rep. of",ARM,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),1261.1,967.7,1657.5,1981.9,2013.6,1772.9,1822.7,1852.5,1797.0,2019.4,2556.1,2488.7,2311.0,2173.4,1992.6,2205.6,2351.4,2269.0,2318.2,2370.9,1778.4,2201.7,2846.2
"Armenia, Rep. of",ARM,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),1024.2,1012.5,1165.5,1169.8,1023.7,1026.7,1055.9,1066.3,1079.4,1093.9,1123.2,1148.3,1249.2,1289.0,1298.1,1286.7,1311.6,1326.8,1336.4,1340.0,1350.0,1345.2,1345.2
"Armenia, Rep. of",ARM,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,,,,,,,0.167,0.4,19.4,23.6,56.5,163.5,523.5
"Armenia, Rep. of",ARM,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,,,,,,,,,,,,,1.0,2.4,17.32,21.1,50.5,146.1,235.195
"Armenia, Rep. of",ARM,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,2.6,2.9,1.9,4.3,7.0,5.6,4.1,3.8,4.0,3.7,1.8,2.1,1.9,3.3,1.9,1.5,1.8
"Armenia, Rep. of",ARM,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,,,,,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.6,2.925,2.925,2.925,2.925,2.925,2.925,2.925
"Aruba, Kingdom of the Netherlands",ABW,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,,,,,,,4.8,,,,,,
"Aruba, Kingdom of the Netherlands",ABW,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,
"Aruba, Kingdom of the Netherlands",ABW,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),776.585,808.333,824.649,841.844,865.753,910.466,909.512,935.976,913.607,907.68,833.993,817.889,779.122,776.804,755.257,755.547,802.109,834.234,876.14,887.844,903.612,903.612,830.238
"Aruba, Kingdom of the Netherlands",ABW,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),158.0,158.0,158.0,158.0,158.0,158.0,182.0,182.0,206.0,206.0,206.0,206.0,251.2,251.2,251.2,251.2,251.2,251.2,248.88,257.88,257.88,257.88,216.0
"Aruba, Kingdom of the Netherlands",ABW,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,0.088,0.351,1.141,2.283,5.707,9.658,11.723,12.78,19.411,25.996,25.996,25.996,25.996
"Aruba, Kingdom of the Netherlands",ABW,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,,,,,,,0.1,0.3,1.0,1.6,4.9,6.1,7.251,7.304,14.804,14.804,14.804,14.804,14.804
"Aruba, Kingdom of the Netherlands",ABW,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,16.638,106.159,112.237,134.199,148.994,155.61,166.419,133.168,130.986,130.986,130.986,130.986,130.986,130.986
"Aruba, Kingdom of the Netherlands",ABW,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,,,,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Australia,AUS,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),1134.0,1345.0,1583.0,1583.0,1799.0,3830.0,3911.0,3953.0,4596.0,2815.0,2777.0,2102.0,3043.0,3152.0,3511.0,3608.0,3722.0,3501.0,3518.0,3496.0,3351.0,3347.0,3190.0
Australia,AUS,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),422.0,575.0,582.0,626.0,696.0,757.0,825.0,840.0,785.0,822.0,825.0,826.0,827.0,817.0,824.0,826.0,864.0,864.0,864.0,864.0,871.0,871.0,871.0
Australia,AUS,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),192274.0,206103.0,209504.0,201967.0,209530.0,208244.0,211085.0,221966.0,223347.0,229493.0,230893.0,227433.0,224509.0,216511.0,211256.0,217871.0,219115.0,217564.0,216366.0,212002.0,205247.0,194756.0,187535.0
Australia,AUS,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),36523.0,37122.0,39746.0,40857.0,40855.0,40058.0,40413.0,42708.0,43484.0,45806.0,48746.0,49218.0,49550.0,49354.0,49880.0,55188.0,53150.0,50354.0,50836.0,50676.0,51955.0,52352.0,52600.0
Australia,AUS,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),16360.0,16563.0,15877.0,16274.0,16110.0,15309.0,15926.0,14339.0,11909.0,11802.0,13502.0,16694.0,13979.0,18116.0,18338.0,13324.0,15021.0,16037.0,15804.0,15602.0,14764.0,14761.0,16297.0
Australia,AUS,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),6781.0,6781.0,6781.0,6781.0,6855.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7461.0,7713.0,7713.0,7713.0,7713.0,7713.0
Australia,AUS,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),38.0,44.0,50.0,59.0,69.0,79.0,91.0,109.0,127.0,160.0,389.0,1391.0,2325.0,3475.0,4010.0,5023.0,6209.0,8071.0,9930.0,14848.0,21034.0,27717.0,34687.0
Australia,AUS,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),25.0,29.0,34.0,39.4,46.4,52.4,61.4,73.0,85.0,332.0,1091.0,1421.0,2511.0,3312.0,4137.0,5035.0,5880.0,7242.0,11128.0,15453.0,19772.0,24396.0,28887.0
Australia,AUS,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),58.0,210.0,364.0,703.0,705.0,885.0,1713.0,2611.0,3093.0,3824.0,5052.0,6085.0,6970.0,7960.0,10252.0,11467.0,12199.0,12597.0,15164.0,17712.0,20396.0,24535.0,29108.0
Australia,AUS,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),33.0,76.0,106.0,190.0,379.0,740.0,819.0,1249.0,1441.0,1703.0,1864.0,2127.0,2561.0,3221.0,3797.0,4318.0,4683.0,5407.0,6409.0,7881.0,10207.0,10555.0,11966.0
Austria,AUT,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),1529.0,1667.001,1516.001,1708.0,2056.0,2434.853,3234.442,4059.196,4158.315,4276.473,4480.796,4559.677,4679.105,4695.969,4547.727,4647.694,4780.026,4920.843,4929.796,4655.299,4591.009,4479.658,4690.301
Austria,AUT,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),810.0,799.0,792.0,987.0,994.0,1596.387,1826.784,2080.92,2105.943,2178.872,2176.309,2249.455,1671.556,1507.324,1410.602,1396.339,1392.788,1289.774,1270.593,1249.309,1251.259,1171.094,1195.101
Austria,AUT,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),16292.0,18597.0,18570.0,22537.0,21882.0,23157.554,21062.482,19163.6,19377.72,18512.649,22328.46,20786.993,16682.115,13470.778,10854.586,13587.401,13457.412,15680.532,14253.554,15421.732,13036.731,13484.65,13509.323
