Country,ISO3,Indicator,Technology,Energy_Type,Unit,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
Brazil,BRA,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),61063.0,62409.0,64473.0,67697.5,69087.2,71060.2,73678.0,76869.0,77545.0,78610.0,80703.02,82457.02,84294.02,86019.02,89193.845,91654.816,96933.835,100339.279,104496.279,109161.835,109345.069,109458.438,109801.703
Brazil,BRA,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,0.058,0.058,0.609,1.162,1.164,1.164,1.164,1.181,1.226,1.263,5.465,3.325,5.962,17.25,62.686,91.761,840.974,3473.138,6666.305,10760.078,16764.018,30138.199
Brazil,BRA,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,0.036,0.036,0.716,0.718,0.718,0.718,0.718,0.739,0.774,0.786,5.958,6.65,12.41,20.572,46.166,128.117,1206.787,2452.5,4698.489,8451.895,14499.443,25520.472
Brazil,BRA,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),1.0,35.0,61.0,61.0,61.0,92.9,237.0,662.782,1183.0,1238.0,2177.0,2704.5,5050.046,6578.41,12210.252,21625.702,33488.872,42373.258,48475.141,55985.622,57050.706,72285.975,81631.569
Brazil,BRA,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),22.0,24.0,22.0,24.0,24.0,29.0,237.0,247.0,398.0,602.0,927.0,1426.0,1894.0,2202.02,4888.053,7633.112,10129.125,12304.243,14843.077,15438.379,17198.311,21161.346,24163.138
British Virgin Islands,VGB,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),108.887,124.687,140.787,140.687,148.349,160.686,168.912,181.244,182.176,189.714,199.372,194.51,199.1,197.9,198.6,210.1,218.7,173.3,158.5,198.2,201.2,204.8,208.5
British Virgin Islands,VGB,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),26.734,45.07,45.07,45.07,46.39,46.39,39.057,50.057,50.057,49.707,51.399,48.284,48.284,47.942,46.302,46.302,46.302,63.01,63.01,63.01,63.01,63.04,63.04
British Virgin Islands,VGB,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,0.003,0.032,0.032,0.036,0.085,0.184,1.482,1.552,1.566,1.635,1.725,2.104,2.494
British Virgin Islands,VGB,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,,,,,,,0.019,0.019,0.019,0.022,0.051,0.763,0.925,0.926,0.935,0.99,1.235,1.486,1.516
British Virgin Islands,VGB,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,1.15,1.533,1.533,1.533,1.533,1.533,1.533,1.533,1.533,2.453,2.455,2.455,2.455
British Virgin Islands,VGB,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.801,0.801,0.801,0.801
Brunei Darussalam,BRN,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),2816.399,2911.458,3040.778,3190.756,3263.64,3263.761,3298.35,3394.788,3423.48,3611.471,3792.221,3722.98,3928.667,3961.805,4054.602,4198.786,4269.849,4155.805,4292.005,4449.158,4508.277,4450.445,4389.202
Brunei Darussalam,BRN,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),783.1,737.4,737.4,752.4,757.2,759.4,759.0,758.6,761.0,831.7,887.95,893.95,915.95,917.49,920.39,921.99,921.99,993.19,1006.0,1006.0,1226.0,1226.0,1226.0
Brunei Darussalam,BRN,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,0.81,1.624,1.667,1.692,1.618,1.311,1.085,1.565,1.589,1.079,1.107,1.121,1.106
Brunei Darussalam,BRN,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,,,,,,,1.2,1.2,1.2,1.2,1.214,1.214,1.214,1.215,1.215,1.216,1.45,4.87,4.898
Bulgaria,BGR,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,16.0,8.0,35.432,56.0,66.0,110.402,200.0,272.0,353.0,395.981,1572.966,1820.811,1699.341,2588.892,2243.594
Bulgaria,BGR,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),52.0,52.0,52.0,7.0,7.0,7.0,6.0,6.0,6.0,9.0,10.0,11.0,14.0,34.0,40.0,54.0,57.0,52.003,69.428,56.869,48.054,47.321,50.11
Bulgaria,BGR,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),19780.0,22244.0,19742.0,22013.0,21423.0,20960.0,21744.0,25367.0,25857.0,23392.0,24965.568,29751.0,25452.0,21956.598,23658.0,24568.0,21735.0,23237.329,21014.34,19742.16,16123.831,20489.715,24339.745
Bulgaria,BGR,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),5621.0,7406.0,6826.0,6752.0,6682.0,6675.0,6412.0,4896.0,4641.0,4363.0,4568.0,4535.0,4898.0,4667.0,4430.0,3937.0,3765.0,3733.36,4150.975,4040.362,3758.402,3806.665,3974.582
Bulgaria,BGR,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),2631.0,1651.0,2116.0,2995.0,3138.811,4297.428,4213.287,2829.847,2792.71,3431.986,5031.341,2871.581,3177.636,4036.218,4601.825,5654.786,3880.328,2828.103,5146.578,2929.499,2820.398,4819.205,3803.279
Bulgaria,BGR,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),1016.0,841.0,1084.0,1651.0,1984.0,1984.0,1984.0,2012.0,2120.0,2137.0,2184.0,2244.0,2317.0,2339.0,2355.0,2355.0,2359.0,2507.55,2515.0,2514.35,2512.456,2505.233,2525.923
Bulgaria,BGR,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,0.06,0.167,3.267,14.865,100.862,778.696,1391.987,1256.651,1381.661,1387.99,1402.97,1342.788,1417.286,1468.72,1466.598,2093.838
Bulgaria,BGR,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,,,,0.03,0.1,2.0,25.0,154.0,922.0,1039.0,1029.0,1028.0,1030.0,1030.701,1033.058,1044.39,1100.211,1274.713,1737.184
Bulgaria,BGR,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,,,,1.0,4.587,20.047,46.802,121.758,237.009,681.369,861.095,1220.898,1373.512,1330.577,1451.511,1424.97,1504.064,1318.123,1316.988,1477.131,1433.561,1499.125
Bulgaria,BGR,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,,,,1.0,8.0,27.0,30.0,114.0,333.0,488.0,541.0,677.0,683.0,699.0,699.0,699.0,698.39,698.92,703.12,702.8,704.375,702.085
Burkina Faso,BFA,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,,,,0.05,0.15,0.3,0.3,1.3,1.3,1.3,1.3,1.3,1.3
Burkina Faso,BFA,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),,,,,,,,,,,,,,0.15,0.15,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Burkina Faso,BFA,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),292.084,311.721,300.92,348.662,371.79,415.752,467.729,501.295,483.468,567.493,447.832,448.322,528.413,625.23,779.66,905.673,833.685,957.903,875.294,588.1,528.214,686.356,565.62
Burkina Faso,BFA,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),48.0,48.0,48.0,150.0,181.0,204.0,226.0,223.0,224.0,224.0,210.0,272.0,329.0,218.0,256.0,296.0,293.0,289.16,289.16,339.16,339.16,389.16,389.16
Burkina Faso,BFA,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),98.268,53.782,63.755,95.892,101.459,100.473,80.668,111.417,135.932,132.297,117.538,81.949,96.646,105.543,90.473,93.462,139.485,127.933,91.447,105.317,112.393,127.496,82.285
Burkina Faso,BFA,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,34.6,34.6,34.6,34.6,34.6,34.6,34.6,34.6
Burkina Faso,BFA,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,1.3,2.2,3.0,4.5,5.1,15.047,84.692,91.24,90.352,92.774,92.944
Burkina Faso,BFA,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,0.11,0.11,0.11,0.11,0.11,0.112,0.209,0.267,0.833,1.341,1.824,2.75,3.165,38.252,53.695,55.426,55.916,56.701,87.296
Burundi,BDI,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),4.028,4.252,4.334,4.121,4.211,4.295,3.993,5.546,4.85,5.944,4.678,5.724,5.691,6.868,5.822,5.803,6.632,6.586,5.669,5.426,5.548,5.548,5.548
Burundi,BDI,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Burundi,BDI,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),6.166,6.166,6.166,6.166,6.166,6.166,6.166,6.166,6.166,6.166,17.536,12.905,2.888,23.074,31.385,28.698,24.086,35.836,53.317,79.325,118.02,175.59,261.244
Burundi,BDI,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,15.5,15.5,20.5,20.5,20.5,20.5,50.5,50.5,50.5,50.5,50.5,50.5
Burundi,BDI,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),101.86,115.191,126.948,103.159,93.723,101.171,156.136,198.488,213.499,201.337,129.809,140.397,146.521,166.146,180.122,173.403,175.233,181.918,240.08,263.561,270.291,256.422,256.422
Burundi,BDI,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),50.253,50.253,50.253,50.253,50.253,50.253,50.253,50.253,50.253,50.253,50.253,50.753,50.753,50.753,50.753,50.753,50.753,48.283,48.283,48.283,48.283,48.283,63.283
Burundi,BDI,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,,,0.626,0.642,0.662,1.123,2.361,2.902,2.92,2.982,3.199,2.357,2.118
Burundi,BDI,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,,,,,,,,,0.403,0.413,0.426,0.723,1.52,1.868,1.88,1.92,2.06,9.018,8.863
Cabo Verde,CPV,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),141.746,169.567,173.309,193.287,212.383,229.608,243.481,261.65,280.285,290.64,333.921,324.08,300.337,308.032,312.44,334.514,361.406,349.932,340.268,360.926,348.787,360.98,390.107
Cabo Verde,CPV,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),76.11,76.11,76.11,76.11,77.19,77.03,68.218,72.018,86.386,83.242,92.32,99.64,123.04,108.36,108.36,145.327,143.338,143.338,140.938,133.5,141.9,141.9,165.0
Cabo Verde,CPV,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,2.105,8.956,7.464,7.253,6.647,6.208,5.637,6.61,9.121,8.985,6.591,6.884,72.238
Cabo Verde,CPV,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,,,,,,,5.5,5.5,5.574,5.574,5.574,5.959,6.059,6.217,10.71,14.072,14.88,17.094,22.941
Cabo Verde,CPV,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),4.549,3.749,5.662,5.366,6.43,6.45,7.441,6.869,5.51,4.661,1.992,15.605,63.03,76.006,82.56,78.813,76.932,68.318,80.231,73.795,63.932,73.784,73.784
Cabo Verde,CPV,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,,2.1,2.68,2.4,2.4,2.1,2.1,2.1,2.1,1.8,17.0,27.2,27.2,27.2,27.2,27.2,27.2,26.9,26.9,26.9,26.9,26.9
Cambodia,KHM,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),,,,,,0.122,2.03,6.655,10.489,15.246,15.63,29.427,38.576,47.058,79.276,101.475,99.603,106.242,109.635,130.691,101.542,89.632,52.422
Cambodia,KHM,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),,,,,,0.102,4.512,5.402,8.492,10.776,11.376,18.5,49.9,46.37,58.84,57.645,55.27,75.27,75.97,75.97,68.27,66.27,75.27
Cambodia,KHM,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),525.0,525.0,523.045,596.376,714.809,835.71,1034.815,1294.356,1433.296,1180.683,930.811,955.111,893.983,747.74,1189.99,2291.48,2872.55,3858.68,3355.875,4465.86,4365.78,4009.24,3490.38
Cambodia,KHM,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),170.576,170.576,170.576,174.948,176.824,218.273,282.664,296.85,366.143,353.003,340.972,355.481,334.005,456.993,559.268,707.629,733.415,859.34,818.024,978.226,1334.06,1294.598,1688.43
Cambodia,KHM,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),40.0,30.0,29.145,40.509,28.422,43.542,50.609,49.707,46.284,47.425,31.734,51.522,517.37,1015.54,1851.6,2159.64,2567.96,2711.14,4737.013,4025.34,3860.03,5043.94,5898.32
Cambodia,KHM,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),10.0,10.0,12.0,12.0,13.0,12.96,12.96,12.96,13.386,13.35,13.33,207.06,225.43,683.43,929.43,929.7,930.0,979.7,1329.7,1329.7,1329.7,1329.7,1676.0
Cambodia,KHM,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),0.136,0.268,0.41,0.476,0.522,0.787,1.005,2.256,2.758,3.103,3.185,5.654,6.796,8.521,13.322,17.674,26.627,36.398,62.216,139.71,337.613,661.373,753.894
Cambodia,KHM,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),0.094,0.185,0.283,0.328,0.36,0.543,0.693,1.556,1.902,2.14,2.196,3.899,4.687,5.877,9.187,12.189,18.363,31.908,42.045,137.281,329.802,392.257,477.057
Cambodia,KHM,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Cambodia,KHM,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,,,,,,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Cameroon,CMR,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),123.424,154.027,208.293,247.912,280.657,321.845,345.548,499.665,360.759,571.329,654.849,689.989,787.959,1125.712,1128.11,1785.49,1496.01,1620.95,1925.57,1598.71,1593.02,1593.02,1593.02
Cameroon,CMR,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),101.908,100.908,173.408,174.568,184.568,189.568,214.568,234.568,249.968,335.112,316.212,300.412,400.412,570.862,570.862,625.402,625.402,694.952,701.222,701.222,701.222,702.582,702.582
Cameroon,CMR,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),3442.0,3474.0,3182.0,3528.826,3729.36,3772.318,3892.016,3847.159,3847.313,4232.876,4016.951,4260.808,4385.999,4256.629,4373.259,4373.259,4359.279,4752.579,5033.419,5026.476,5232.836,5232.836,5232.836
Cameroon,CMR,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),719.0,719.0,719.0,719.0,719.008,719.008,719.026,719.026,719.026,719.066,723.096,728.296,728.296,732.296,732.296,732.296,732.296,732.096,732.096,812.516,812.516,812.516,813.996
Cameroon,CMR,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,0.137,0.137,0.137,0.137,0.275,0.275,0.014,0.014,0.055,0.073,0.086,0.092,0.185,0.211,15.911,16.27,17.446,18.631,36.048,36.153
Cameroon,CMR,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,0.1,0.1,0.1,0.1,0.2,0.2,0.01,0.01,0.04,0.053,0.062,0.067,0.134,0.153,11.58,11.841,12.697,13.56,26.236,26.312
Canada,CAN,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),8648.0,9017.999,9430.002,9368.0,9101.0,8210.999,8123.0,7815.999,7159.999,7859.999,9070.001,9145.0,9710.0,9833.0,8706.001,9142.0,11881.001,11364.0,10995.0,10781.999,10023.001,10056.0,9060.0
Canada,CAN,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),1709.165,1739.165,1866.765,2125.071,2070.131,2005.765,2019.765,2050.421,2050.391,2033.891,2079.783,2088.368,2218.353,2417.157,2650.722,2630.622,2700.002,2785.302,2791.552,2684.557,2691.457,2691.457,2699.857
Canada,CAN,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),165750.0,170766.0,165566.0,167264.0,158825.0,157180.0,148724.0,155903.0,148521.0,133046.0,139762.0,141436.0,132107.0,130342.0,133107.0,134604.0,131951.0,120209.0,123437.0,121373.0,116350.0,116376.0,114142.0
Canada,CAN,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),31838.0,33029.0,33197.0,34856.0,31427.0,34020.0,33509.0,33664.0,33310.0,35698.0,34787.0,33410.0,31662.0,31522.0,31246.0,32675.0,33172.0,32895.0,33163.0,33342.0,35068.0,35277.0,34232.0
Canada,CAN,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),358509.0,333319.0,350554.0,337445.0,340835.0,361920.0,352852.0,367584.0,377450.0,368651.0,351350.0,375686.0,380229.0,391750.0,382463.0,382155.0,385394.0,394548.0,385856.0,381732.0,386506.0,383852.0,397616.0
Canada,CAN,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),67230.0,66882.0,69029.0,70197.0,70680.0,71801.0,72661.0,73281.0,74230.0,74510.0,74901.0,75396.0,75363.0,75337.0,75300.0,79231.0,80130.0,80657.0,81396.0,81396.0,81209.0,82133.0,83138.0
Canada,CAN,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,1.0,1.0,2.0,3.0,6.0,68.0,249.0,560.0,863.0,1365.0,2079.0,2841.0,3005.0,3308.0,3491.0,3752.0,4072.0,5113.0,5737.0
Canada,CAN,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,,2.0,2.0,5.0,9.0,62.0,216.0,554.0,870.0,1302.0,2108.0,2877.0,3058.0,3419.0,3719.0,4007.0,4379.0,5261.0,5438.5
Canada,CAN,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),264.0,337.0,408.0,826.0,954.0,1567.0,2473.0,3007.0,3788.0,6641.0,8724.0,10187.0,11310.0,18092.0,22538.0,26964.0,30930.0,31511.0,33468.0,32873.0,35761.0,36006.0,36853.0
Canada,CAN,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),92.0,131.0,161.0,327.0,444.0,677.0,1423.0,1840.0,2336.0,3282.0,3967.0,5265.0,6201.0,7801.0,9694.0,11214.0,11973.0,12250.0,12816.0,13220.0,13532.0,13722.0,15081.0
Cayman Islands,CYM,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),506.294,532.961,551.85,578.516,517.405,551.85,632.961,687.405,699.627,680.072,675.738,676.294,672.481,685.78,695.891,717.002,744.064,740.57,720.195,759.107,726.129,735.435,755.669
Cayman Islands,CYM,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),104.22,124.4,124.4,124.4,136.7,123.93,123.93,132.8,145.9,145.9,161.9,160.5,164.9,163.24,163.24,145.35,174.65,174.65,174.65,174.65,174.65,174.65,179.25
Cayman Islands,CYM,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,,,,,,,2.245,9.389,15.227,17.205,19.585,21.71,21.9
Cayman Islands,CYM,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,,,,,,,,,,,,,2.754,8.766,9.917,11.194,12.837,13.801,13.801
Cayman Islands,CYM,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,,,,,,,,,0.117,1.402,1.402,1.402,1.402
Cayman Islands,CYM,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,,,,,,,,,,,,,,,,,,0.8,0.8,0.8,0.8,0.8
Central African Rep.,CAF,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.23,0.384,6.023,5.182,5.182,5.182,5.182,5.182,5.182
Central African Rep.,CAF,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),21.0,21.0,21.0,21.0,21.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,72.0,72.0
Central African Rep.,CAF,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),85.664,84.664,84.664,85.664,126.664,135.664,141.664,138.664,126.664,139.664,140.664,141.664,141.664,141.664,140.498,138.202,131.264,141.265,141.265,141.265,141.265,141.265,141.265
Central African Rep.,CAF,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85,18.85
Central African Rep.,CAF,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,,,,,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426
Central African Rep.,CAF,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,,,,,,,,,,,0.095,0.099,0.209,0.274,0.299,0.296,0.339,0.337,0.334
Chad,TCD,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),6.6,7.0,7.1,7.32,6.68,7.78,7.78,7.8,8.1,8.9,8.834,8.492,8.646,8.76,8.917,9.092,9.209,8.661,8.237,6.6,7.606,8.202,8.612
Chad,TCD,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Chad,TCD,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),93.4,93.4,93.4,104.67,104.67,104.67,104.67,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,325.64,325.64,325.64,325.64,325.64,325.64,325.64,325.64
Chad,TCD,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),29.0,29.0,29.0,151.0,153.0,155.0,155.0,177.0,177.0,177.0,177.0,177.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0
Chad,TCD,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,0.004,0.004,0.005,0.079,0.079,0.272,0.285,0.3,0.888,0.881,1.747,2.516,2.588
Chad,TCD,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,,,,,,,0.002,0.002,0.003,0.05,0.05,0.172,0.18,0.19,0.562,0.557,1.106,1.592,1.638
Chad,TCD,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,,,,,,,8.9,8.9,8.9,8.9,8.9,8.9,8.9
Chad,TCD,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,,,,,,,,,,,,,,,,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Chile,CHL,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),971.0,2126.0,1978.0,1874.0,2093.0,1833.0,1486.0,2755.0,3141.0,4324.0,2249.0,4702.857,4873.499,5760.929,5327.0,5614.999,5957.0,6062.058,5688.768,5393.952,5236.978,5604.365,4595.0
Chile,CHL,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),22.0,22.0,22.0,32.778,99.778,118.778,118.778,118.778,168.232,490.0,530.2,568.4,857.4,1267.511,926.0,468.107,463.0,502.039,503.054,501.631,470.316,490.973,489.612
Chile,CHL,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),20621.0,19453.0,19455.0,23341.0,27191.0,24204.0,24753.0,32674.0,32390.0,30976.0,36026.0,39693.0,44330.0,46841.0,40113.0,42542.0,45016.0,44566.791,44263.696,45169.932,43093.91,45028.72,40666.0
Chile,CHL,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),5276.774,5679.774,5806.774,6211.949,6255.699,6680.519,6709.169,7387.453,7738.225,9081.843,9649.681,10562.599,10609.334,11046.301,11056.873,11321.025,12856.755,12780.525,12323.467,12533.58,12089.704,12594.817,12650.74
Chile,CHL,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),18848.0,21270.0,22591.0,22265.0,22523.0,27045.0,29667.0,23606.0,24614.0,25793.0,22053.0,21065.0,20337.0,19912.0,23258.0,23925.0,23435.0,21369.686,23426.808,22506.979,21930.61,19347.582,20684.0
Chile,CHL,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),4430.0,4427.0,4455.0,4466.0,5222.0,5224.0,5230.0,5356.0,5433.765,5452.765,5467.765,5946.765,5992.765,6012.054,6410.938,6492.217,6625.425,6645.355,6634.017,6679.286,6934.296,6806.873,7288.834
Chile,CHL,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,0.003,0.007,0.4,8.071,480.096,1262.573,2643.465,3927.019,5242.204,6465.463,8056.744,10663.92,15911.517
Chile,CHL,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,,,,,,,0.002,0.007,2.036,11.815,203.26,546.204,1054.659,1841.03,2315.376,2715.535,3302.413,4624.214,6686.94
Chile,CHL,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,7.0,7.0,7.0,7.0,7.0,7.0,9.0,38.0,79.0,332.0,338.0,409.0,554.0,1443.0,2115.0,2449.0,3625.559,3587.895,4895.225,5602.299,7628.098,8893.0
